Month;Val
01/10/2011;33
01/11/2011;30
01/12/2011;33
01/01/2012;39
01/02/2012;39
01/03/2012;43
01/04/2012;43
01/05/2012;43
01/06/2012;48
01/07/2012;54
01/08/2012;53
01/09/2012;50
01/10/2012;44
01/11/2012;40
01/12/2012;45
01/01/2013;55
01/02/2013;55
01/03/2013;61
01/04/2013;60
01/05/2013;60
01/06/2013;69
01/07/2013;78
01/08/2013;76
01/09/2013;72
01/10/2013;63
01/11/2013;55
01/12/2013;64
01/01/2014;63
01/02/2014;61
01/03/2014;72
01/04/2014;69
01/05/2014;69
01/06/2014;81
01/07/2014;85
01/08/2014;86
01/09/2014;78
01/10/2014;70
01/11/2014;62
01/12/2014;69
01/01/2015;72
01/02/2015;68
01/03/2015;78
01/04/2015;77
01/05/2015;84
01/06/2015;84
01/07/2015;88
01/08/2015;90
01/09/2015;87
01/10/2015;77
01/11/2015;67
01/12/2015;77
01/01/2016;76
01/02/2016;70
01/03/2016;84
01/04/2016;76
01/05/2016;85
01/06/2016;83
01/07/2016;93
01/08/2016;93
01/09/2016;88
01/10/2016;77
01/11/2016;70
01/12/2016;75
01/01/2017;80
01/02/2017;78
01/03/2017;94
01/04/2017;87
01/05/2017;101
01/06/2017;93
01/07/2017;102
01/08/2017;108
01/09/2017;100
01/10/2017;88
01/11/2017;80
01/12/2017;89
01/01/2018;90
01/02/2018;88
01/03/2018;99
01/04/2018;97
01/05/2018;111
01/06/2018;106
01/07/2018;118
01/08/2018;120
01/09/2018;113
01/10/2018;102
01/11/2018;84
01/12/2018;96
