Data;PACK_QTY;PACK_LABEL_ID;PACK_SHPR
03/10/2011;1;MA001000300001;P01
03/10/2011;1;MA001001400002;P01
03/10/2011;1;MA001002200003;P01
03/10/2011;1;MA001000300004;P01
04/10/2011;1;MA001001000005;P01
05/10/2011;1;MA001002300006;P01
06/10/2011;1;MA001001500007;P01
07/10/2011;1;MA001003600008;P01
07/10/2011;1;MA001002900009;P01
10/10/2011;1;MA001002500010;P01
10/10/2011;1;MA001001900011;P01
12/10/2011;1;MA001001600012;P01
12/10/2011;1;MA001002600013;P01
13/10/2011;1;MA001003600014;P01
13/10/2011;1;MA001001200015;P01
14/10/2011;1;MA001001000016;P01
17/10/2011;1;MA001001100017;P01
17/10/2011;1;MA001003700018;P01
17/10/2011;1;MA001002600019;P01
18/10/2011;1;MA001002200020;P01
19/10/2011;1;MA001000400021;P01
24/10/2011;1;MA001003500022;P01
24/10/2011;1;MA001001200023;P01
24/10/2011;1;MA001000900024;P01
24/10/2011;1;MA001001900025;P01
25/10/2011;1;MA001003700026;P01
25/10/2011;1;MA001002300027;P01
26/10/2011;2;MA001003600028;P01
26/10/2011;1;MA001001800029;P01
27/10/2011;1;MA001003200030;P01
27/10/2011;1;MA001002300031;P01
28/10/2011;1;MA001000500032;P01
31/10/2011;1;MA001001000033;P01
02/11/2011;1;MA001001400034;P01
03/11/2011;2;MA001000600035;P01
03/11/2011;1;MA001003200036;P01
04/11/2011;1;MA001000200037;P01
07/11/2011;1;MA001000700038;P01
07/11/2011;1;MA001001200039;P01
07/11/2011;1;MA001002100040;P01
10/11/2011;1;MA001003700041;P01
10/11/2011;2;MA001001200042;P01
14/11/2011;1;MA001002800043;P01
15/11/2011;1;MA001002000044;P01
16/11/2011;1;MA001003400045;P01
18/11/2011;1;MA001002000046;P01
18/11/2011;1;MA001002100047;P01
21/11/2011;1;MA001001500048;P01
22/11/2011;1;MA001000100049;P01
23/11/2011;1;MA001003000050;P01
23/11/2011;1;MA001001200051;P01
24/11/2011;1;MA001001600052;P01
24/11/2011;1;MA001001600053;P01
24/11/2011;1;MA001003300054;P01
25/11/2011;1;MA001002900055;P01
28/11/2011;1;MA001001500056;P01
28/11/2011;1;MA001000300057;P01
28/11/2011;1;MA001000200058;P01
28/11/2011;1;MA001002500059;P01
30/11/2011;1;MA001000100060;P01
30/11/2011;1;MA001001600061;P01
30/11/2011;1;MA001000800062;P01
30/11/2011;1;MA001002100063;P01
01/12/2011;1;MA001002500064;P01
01/12/2011;1;MA001000400065;P01
02/12/2011;1;MA001001800066;P01
02/12/2011;1;MA001003300067;P01
05/12/2011;1;MA001001100068;P01
05/12/2011;1;MA001000900069;P01
06/12/2011;1;MA001001100070;P01
07/12/2011;1;MA001003700071;P01
12/12/2011;1;MA001002400072;P01
12/12/2011;1;MA001001700073;P01
13/12/2011;1;MA001001800074;P01
13/12/2011;1;MA001003400075;P01
13/12/2011;1;MA001001200076;P01
15/12/2011;1;MA001000500077;P01
16/12/2011;1;MA001002600078;P01
19/12/2011;1;MA001002000079;P01
19/12/2011;1;MA001003200080;P01
21/12/2011;2;MA001002900081;P01
21/12/2011;1;MA001001300082;P01
22/12/2011;1;MA001002300083;P01
23/12/2011;1;MA001002600084;P01
23/12/2011;1;MA001003000085;P01
23/12/2011;1;MA001003600086;P01
23/12/2011;1;MA001003300087;P01
23/12/2011;1;MA001000900088;P01
23/12/2011;1;MA001003400089;P01
27/12/2011;1;MA001002300090;P01
27/12/2011;1;MA001001100091;P01
28/12/2011;1;MA001002700092;P01
28/12/2011;1;MA001001400093;P01
29/12/2011;1;MA001003600094;P01
29/12/2011;1;MA001002300095;P01
29/12/2011;1;MA001003300096;P01
02/01/2012;1;MA002002500001;P01
03/01/2012;1;MA002001500002;P01
03/01/2012;1;MA002000500003;P01
03/01/2012;1;MA002001200004;P01
03/01/2012;1;MA002001300005;P01
04/01/2012;2;MA002001300006;P01
05/01/2012;1;MA002001600007;P01
09/01/2012;1;MA002002800008;P01
09/01/2012;1;MA002003600009;P01
09/01/2012;1;MA002002300010;P01
09/01/2012;1;MA002000100011;P01
09/01/2012;1;MA002002600012;P01
09/01/2012;1;MA002001400013;P01
12/01/2012;1;MA002002900014;P01
12/01/2012;1;MA002002700015;P01
13/01/2012;1;MA002002400016;P01
13/01/2012;1;MA002000800017;P01
16/01/2012;1;MA002003300018;P01
16/01/2012;1;MA002001400019;P01
17/01/2012;1;MA002003000020;P01
17/01/2012;1;MA002001600021;P01
17/01/2012;1;MA002001100022;P01
17/01/2012;1;MA002003400023;P01
18/01/2012;1;MA002000900024;P01
19/01/2012;1;MA002001900025;P01
20/01/2012;1;MA002000500026;P01
23/01/2012;1;MA002001000027;P01
23/01/2012;1;MA002003700028;P01
23/01/2012;1;MA002002600029;P01
23/01/2012;1;MA002003300030;P01
23/01/2012;1;MA002000500031;P01
23/01/2012;1;MA002000800032;P01
24/01/2012;1;MA002002600033;P01
30/01/2012;1;MA002002800034;P01
30/01/2012;1;MA002003600035;P01
30/01/2012;1;MA002000900036;P01
30/01/2012;1;MA002003300037;P01
31/01/2012;1;MA002000900038;P01
31/01/2012;1;MA002000700039;P01
01/02/2012;1;MA002001700040;P01
01/02/2012;1;MA002000900041;P01
02/02/2012;1;MA002001200042;P01
02/02/2012;1;MA002000300043;P01
02/02/2012;1;MA002000800044;P01
03/02/2012;1;MA002002300045;P01
03/02/2012;1;MA002000100046;P01
06/02/2012;1;MA002002100047;P01
06/02/2012;1;MA002001400048;P01
06/02/2012;1;MA002002000049;P01
06/02/2012;1;MA002000900050;P01
06/02/2012;1;MA002001100051;P01
07/02/2012;1;MA002003700052;P01
08/02/2012;1;MA002003600053;P01
09/02/2012;1;MA002002900054;P01
10/02/2012;1;MA002003700055;P01
10/02/2012;1;MA002002400056;P01
13/02/2012;1;MA002003600057;P01
15/02/2012;1;MA002000500058;P01
15/02/2012;1;MA002002600059;P01
15/02/2012;1;MA002003200060;P01
17/02/2012;1;MA002003400061;P01
20/02/2012;1;MA002001100062;P01
20/02/2012;1;MA002000600063;P01
20/02/2012;1;MA002001900064;P01
21/02/2012;1;MA002001100065;P01
21/02/2012;1;MA002000700066;P01
21/02/2012;1;MA002001700067;P01
22/02/2012;1;MA002001000068;P01
23/02/2012;1;MA002002300069;P01
27/02/2012;1;MA002002600070;P01
27/02/2012;1;MA002003100071;P01
28/02/2012;1;MA002000800072;P01
28/02/2012;1;MA002000900073;P01
28/02/2012;1;MA002000600074;P01
28/02/2012;1;MA002001100075;P01
28/02/2012;1;MA002003700076;P01
29/02/2012;1;MA002001600077;P01
29/02/2012;1;MA002002700078;P01
01/03/2012;1;MA002000500079;P01
01/03/2012;1;MA002003400080;P01
01/03/2012;1;MA002002400081;P01
02/03/2012;1;MA002000300082;P01
05/03/2012;1;MA002002200083;P01
05/03/2012;1;MA002002000084;P01
08/03/2012;1;MA002001600085;P01
08/03/2012;1;MA002002200086;P01
08/03/2012;1;MA002003400087;P01
08/03/2012;1;MA002003100088;P01
09/03/2012;1;MA002001600089;P01
09/03/2012;1;MA002002600090;P01
09/03/2012;1;MA002002800091;P01
09/03/2012;1;MA002001500092;P01
12/03/2012;1;MA002001100093;P01
12/03/2012;1;MA002000900094;P01
12/03/2012;1;MA002003400095;P01
12/03/2012;1;MA002003700096;P01
12/03/2012;1;MA002001100097;P01
13/03/2012;1;MA002001800098;P01
15/03/2012;1;MA002001300099;P01
15/03/2012;1;MA002002300100;P01
19/03/2012;1;MA002001700101;P01
19/03/2012;1;MA002001600102;P01
19/03/2012;1;MA002002900103;P01
19/03/2012;1;MA002002200104;P01
19/03/2012;1;MA002002100105;P01
20/03/2012;1;MA002003600106;P01
20/03/2012;1;MA002002900107;P01
20/03/2012;1;MA002001400108;P01
20/03/2012;1;MA002003500109;P01
21/03/2012;1;MA002000700110;P01
21/03/2012;1;MA002002700111;P01
22/03/2012;1;MA002002700112;P01
22/03/2012;1;MA002002400113;P01
22/03/2012;1;MA002001800114;P01
26/03/2012;1;MA002003000115;P01
26/03/2012;1;MA002000700116;P01
26/03/2012;1;MA002001200117;P01
27/03/2012;1;MA002000600118;P01
27/03/2012;1;MA002002200119;P01
28/03/2012;1;MA002000500120;P01
30/03/2012;1;MA002001100121;P01
02/04/2012;1;MA002000800122;P01
02/04/2012;1;MA002000500123;P01
02/04/2012;2;MA002003600124;P01
03/04/2012;1;MA002001200125;P01
04/04/2012;1;MA002000300126;P01
04/04/2012;1;MA002003500127;P01
04/04/2012;1;MA002001000128;P01
04/04/2012;1;MA002002500129;P01
05/04/2012;1;MA002001500130;P01
06/04/2012;1;MA002001700131;P01
06/04/2012;1;MA002003600132;P01
06/04/2012;1;MA002002300133;P01
06/04/2012;1;MA002001600134;P01
06/04/2012;1;MA002002900135;P01
06/04/2012;1;MA002002400136;P01
10/04/2012;1;MA002003000137;P01
10/04/2012;1;MA002001500138;P01
10/04/2012;1;MA002001500139;P01
10/04/2012;1;MA002003400140;P01
10/04/2012;1;MA002002400141;P01
10/04/2012;1;MA002001300142;P01
10/04/2012;1;MA002003000143;P01
13/04/2012;1;MA002003000144;P01
13/04/2012;1;MA002001300145;P01
13/04/2012;1;MA002000100146;P01
16/04/2012;1;MA002001100147;P01
16/04/2012;1;MA002002700148;P01
16/04/2012;1;MA002003300149;P01
17/04/2012;1;MA002000300150;P01
18/04/2012;1;MA002001400151;P01
19/04/2012;1;MA002002400152;P01
23/04/2012;1;MA002002700153;P01
23/04/2012;1;MA002000700154;P01
23/04/2012;1;MA002000700155;P01
24/04/2012;1;MA002002400156;P01
24/04/2012;1;MA002002200157;P01
26/04/2012;1;MA002001800158;P01
26/04/2012;1;MA002000100159;P01
26/04/2012;1;MA002003200160;P01
30/04/2012;1;MA002002400161;P01
30/04/2012;1;MA002000200162;P01
30/04/2012;1;MA002001300163;P01
30/04/2012;1;MA002003500164;P01
02/05/2012;1;MA002002300165;P01
02/05/2012;2;MA002003400166;P01
02/05/2012;1;MA002001900167;P01
02/05/2012;1;MA002001200168;P01
02/05/2012;1;MA002001600169;P01
02/05/2012;1;MA002000800170;P01
03/05/2012;1;MA002002500171;P01
07/05/2012;1;MA002003200172;P01
07/05/2012;1;MA002003200173;P01
07/05/2012;1;MA002002500174;P01
07/05/2012;1;MA002003100175;P01
07/05/2012;1;MA002002700176;P01
07/05/2012;1;MA002003600177;P01
08/05/2012;1;MA002000300178;P01
08/05/2012;1;MA002002800179;P01
09/05/2012;1;MA002001000180;P01
11/05/2012;1;MA002001800181;P01
11/05/2012;1;MA002001600182;P01
11/05/2012;1;MA002002400183;P01
11/05/2012;1;MA002000400184;P01
11/05/2012;1;MA002003700185;P01
14/05/2012;1;MA002001600186;P01
14/05/2012;1;MA002002100187;P01
14/05/2012;1;MA002003000188;P01
14/05/2012;1;MA002000700189;P01
14/05/2012;1;MA002003100190;P01
15/05/2012;2;MA002000400191;P01
15/05/2012;1;MA002000800192;P01
16/05/2012;1;MA002001900193;P01
16/05/2012;1;MA002000700194;P01
18/05/2012;1;MA002000900195;P01
21/05/2012;1;MA002001500196;P01
21/05/2012;1;MA002002700197;P01
21/05/2012;1;MA002003300198;P01
24/05/2012;3;MA002000800199;P01
24/05/2012;1;MA002001500200;P01
25/05/2012;1;MA002003700201;P01
28/05/2012;1;MA002003200202;P01
28/05/2012;1;MA002001600203;P01
28/05/2012;1;MA002001900204;P01
28/05/2012;2;MA002002400205;P01
30/05/2012;1;MA002001500206;P01
31/05/2012;1;MA002002700207;P01
01/06/2012;1;MA002000100208;P01
01/06/2012;1;MA002001500209;P01
04/06/2012;1;MA002001400210;P01
04/06/2012;1;MA002000200211;P01
04/06/2012;1;MA002001900212;P01
05/06/2012;1;MA002001400213;P01
05/06/2012;1;MA002000200214;P01
07/06/2012;1;MA002002200215;P01
07/06/2012;1;MA002000600216;P01
08/06/2012;1;MA002003100217;P01
08/06/2012;1;MA002003300218;P01
08/06/2012;1;MA002003400219;P01
11/06/2012;1;MA002002700220;P01
12/06/2012;1;MA002002400221;P01
13/06/2012;1;MA002001200222;P01
13/06/2012;1;MA002000400223;P01
13/06/2012;1;MA002002300224;P01
13/06/2012;1;MA002000400225;P01
14/06/2012;1;MA002003100226;P01
14/06/2012;1;MA002003500227;P01
15/06/2012;1;MA002001700228;P01
15/06/2012;1;MA002002300229;P01
15/06/2012;1;MA002003400230;P01
15/06/2012;1;MA002001500231;P01
18/06/2012;1;MA002002800232;P01
18/06/2012;1;MA002001900233;P01
18/06/2012;1;MA002001400234;P01
18/06/2012;1;MA002002200235;P01
18/06/2012;1;MA002000700236;P01
19/06/2012;1;MA002002300237;P01
19/06/2012;1;MA002000800238;P01
20/06/2012;1;MA002000600239;P01
20/06/2012;1;MA002001300240;P01
21/06/2012;1;MA002001000241;P01
21/06/2012;1;MA002003500242;P01
22/06/2012;1;MA002002400243;P01
22/06/2012;1;MA002000900244;P01
22/06/2012;1;MA002001600245;P01
22/06/2012;1;MA002000700246;P01
25/06/2012;1;MA002001100247;P01
25/06/2012;1;MA002001100248;P01
25/06/2012;1;MA002000700249;P01
25/06/2012;1;MA002002200250;P01
25/06/2012;1;MA002003400251;P01
26/06/2012;1;MA002002400252;P01
26/06/2012;1;MA002000100253;P01
27/06/2012;1;MA002001200254;P01
27/06/2012;1;MA002001400255;P01
03/07/2012;1;MA002001500256;P01
03/07/2012;1;MA002000500257;P01
04/07/2012;1;MA002002400258;P01
04/07/2012;1;MA002001300259;P01
05/07/2012;1;MA002000700260;P01
05/07/2012;1;MA002000200261;P01
05/07/2012;1;MA002002400262;P01
09/07/2012;1;MA002002900263;P01
09/07/2012;1;MA002003400264;P01
09/07/2012;1;MA002000200265;P01
09/07/2012;1;MA002000900266;P01
09/07/2012;1;MA002003000267;P01
09/07/2012;1;MA002003600268;P01
10/07/2012;1;MA002002400269;P01
10/07/2012;1;MA002002200270;P01
10/07/2012;1;MA002003300271;P01
11/07/2012;1;MA002000400272;P01
12/07/2012;2;MA002000600273;P01
13/07/2012;1;MA002001200274;P01
16/07/2012;1;MA002002700275;P01
16/07/2012;1;MA002003000276;P01
16/07/2012;1;MA002001100277;P01
16/07/2012;2;MA002002800278;P01
16/07/2012;1;MA002000700279;P01
16/07/2012;1;MA002002700280;P01
17/07/2012;1;MA002003700281;P01
17/07/2012;1;MA002002100282;P01
17/07/2012;2;MA002003300283;P01
17/07/2012;1;MA002002000284;P01
18/07/2012;3;MA002000600285;P01
18/07/2012;1;MA002000500286;P01
18/07/2012;1;MA002001000287;P01
19/07/2012;1;MA002003300288;P01
19/07/2012;1;MA002000200289;P01
19/07/2012;1;MA002001400290;P01
19/07/2012;1;MA002000400291;P01
19/07/2012;1;MA002003300292;P01
20/07/2012;1;MA002001400293;P01
23/07/2012;1;MA002002700294;P01
23/07/2012;1;MA002000100295;P01
23/07/2012;1;MA002002800296;P01
23/07/2012;1;MA002002300297;P01
23/07/2012;1;MA002002600298;P01
25/07/2012;1;MA002000800299;P01
26/07/2012;1;MA002001100300;P01
26/07/2012;1;MA002001800301;P01
26/07/2012;1;MA002003700302;P01
26/07/2012;1;MA002003100303;P01
27/07/2012;1;MA002002300304;P01
27/07/2012;1;MA002000800305;P01
27/07/2012;1;MA002001900306;P01
30/07/2012;1;MA002000400307;P01
30/07/2012;1;MA002002100308;P01
31/07/2012;1;MA002001000309;P01
01/08/2012;1;MA002002600310;P01
01/08/2012;1;MA002003500311;P01
02/08/2012;1;MA002003300312;P01
03/08/2012;1;MA002001500313;P01
06/08/2012;1;MA002001500314;P01
06/08/2012;1;MA002002100315;P01
06/08/2012;1;MA002003000316;P01
06/08/2012;1;MA002001900317;P01
06/08/2012;1;MA002003200318;P01
06/08/2012;1;MA002001200319;P01
06/08/2012;1;MA002003100320;P01
07/08/2012;1;MA002001300321;P01
08/08/2012;1;MA002002000322;P01
08/08/2012;1;MA002002600323;P01
09/08/2012;1;MA002003400324;P01
09/08/2012;1;MA002001100325;P01
09/08/2012;1;MA002003600326;P01
13/08/2012;1;MA002000400327;P01
13/08/2012;2;MA002000500328;P01
13/08/2012;1;MA002003500329;P01
13/08/2012;1;MA002002600330;P01
13/08/2012;1;MA002001600331;P01
13/08/2012;1;MA002002000332;P01
13/08/2012;1;MA002000800333;P01
13/08/2012;1;MA002001600334;P01
16/08/2012;1;MA002003000335;P01
16/08/2012;1;MA002000400336;P01
17/08/2012;1;MA002000700337;P01
17/08/2012;1;MA002003200338;P01
17/08/2012;1;MA002003300339;P01
20/08/2012;1;MA002000600340;P01
20/08/2012;1;MA002000400341;P01
20/08/2012;1;MA002000300342;P01
20/08/2012;1;MA002003500343;P01
20/08/2012;1;MA002002600344;P01
20/08/2012;1;MA002003400345;P01
21/08/2012;1;MA002001000346;P01
